conditions,response,is_lightweight
physical_interaction_intent_type == "search" and interaction_action_entity != null and interaction_action_entity != "Background" and interaction_action_type == "Scan",{interaction_action_entity} detected,True
physical_interaction_intent_type == "search" and interaction_action_entity != null and interaction_action_entity != "Background" and interaction_action_type == "Scan",Found the {interaction_action_entity},True
physical_interaction_intent_type == "search" and interaction_action_entity != null and interaction_action_entity != "Background" and interaction_action_type == "Scan",Found the {interaction_action_entity} - I am getting closer,True
physical_interaction_intent_type == "search" and interaction_action_entity != null and interaction_action_entity != "Background" and interaction_action_type == "Scan",Detected the {interaction_action_entity},True

physical_interaction_intent_type == "search" and interaction_action_type == "GotoObject" and not utterance_queue_not_empty,I think I found it - what are we doing next?,False
physical_interaction_intent_type == "search" and interaction_action_type == "GotoObject" and not utterance_queue_not_empty,Okay what's next?,False
physical_interaction_intent_type == "search" and interaction_action_type == "GotoObject" and not utterance_queue_not_empty,<amazon:emotion name="excited" intensity="medium">Search complete!</amazon:emotion> What should I do next?,False
physical_interaction_intent_type == "search" and interaction_action_type == "GotoObject" and not utterance_queue_not_empty,What are we doing next?,False
physical_interaction_intent_type == "search" and interaction_action_type == "GotoObject" and not utterance_queue_not_empty,Now what should I do?,False
physical_interaction_intent_type == "search" and interaction_action_type == "GotoObject" and not utterance_queue_not_empty,Search complete! What are we doing next?,False

physical_interaction_intent_type == "search" and interaction_action_type == "GotoObject" and utterance_queue_not_empty,',True

physical_interaction_intent_type == "search" and interaction_action_type == "GotoPosition",',True

physical_interaction_intent_type == "search" and interaction_action_type == "GotoPosition" and interacted_entities_counter[physical_interaction_intent_entity] > 0 and physical_interaction_intent_entity != null and visited_room_counter[current_room] > 1,Going back to the {physical_interaction_intent_entity}.,True

physical_interaction_intent_type == "search" and interaction_action_type == "GotoPosition" and interacted_entities_counter[physical_interaction_intent_entity] > 0 and visited_room_counter[current_room] > 1,It should be close to here,True

physical_interaction_intent_type == "search" and interaction_action_type == "GotoPosition" and visited_room_counter[current_room] > 1,I think we saw it somewhere here.,True
physical_interaction_intent_type == "search" and interaction_action_type == "GotoPosition" and visited_room_counter[current_room] > 1,It should be somewhere here.,True

physical_interaction_intent_type == "search" and interaction_action_type == "GotoViewpoint" and find_queue_not_empty,Still looking,True
physical_interaction_intent_type == "search" and interaction_action_type == "GotoViewpoint" and find_queue_not_empty,Let's try one more spot,True
physical_interaction_intent_type == "search" and interaction_action_type == "GotoViewpoint" and find_queue_not_empty,Maybe a new perspective will help!,True
physical_interaction_intent_type == "search" and interaction_action_type == "GotoViewpoint" and find_queue_not_empty,Let's look over here,True
physical_interaction_intent_type == "search" and interaction_action_type == "GotoViewpoint" and find_queue_not_empty,Maybe it's somewhere here,True
physical_interaction_intent_type == "search" and interaction_action_type == "GotoViewpoint" and find_queue_not_empty,',True
physical_interaction_intent_type == "search" and interaction_action_type == "GotoViewpoint" and find_queue_not_empty,Still searching,True
physical_interaction_intent_type == "search" and interaction_action_type == "GotoViewpoint" and find_queue_not_empty,Searching from a new spot,True

physical_interaction_intent_type == "search" and interaction_action_type == "LookAround" and interaction_action_per_turn[-1]["type"] == "GotoPosition",',True

physical_interaction_intent_type == "search" and interaction_action_type == "RotateLeft" and find_queue_not_empty,',True

physical_interaction_intent_type == "search" and interaction_action_type == "RotateLeft" and not find_queue_not_empty,I can't find it. Can you give me another instruction?,False
physical_interaction_intent_type == "search" and interaction_action_type == "RotateLeft" and not find_queue_not_empty,Sorry I don't see it. Can you give me another instruction?,False

physical_interaction_intent_type == "search" and interaction_action_type == "RotateLeft" and not find_queue_not_empty and physical_interaction_intent_entity != null,I couldn't find the {physical_interaction_intent_entity}.,False
physical_interaction_intent_type == "search" and interaction_action_type == "RotateLeft" and not find_queue_not_empty and physical_interaction_intent_entity != null,<amazon:emotion name="disappointed" intensity="medium"> I am sorry I couldn't find the {physical_interaction_intent_entity}.</amazon:emotion><amazon:emotion name="disappointed" intensity="low">.</amazon:emotion> Can I get a different instruction?,False
physical_interaction_intent_type == "search" and interaction_action_type == "RotateLeft" and not find_queue_not_empty and physical_interaction_intent_entity != null,Sorry I don't see the {physical_interaction_intent_entity}. Can you give me a different instruction?,False

physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and interaction_action_type == "GotoPosition" and visited_room_counter[current_room] > 1,I remember seeing the {physical_interaction_intent_entity} from here,True
physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and interaction_action_type == "GotoPosition" and visited_room_counter[current_room] > 1,I think we saw the {physical_interaction_intent_entity} somewhere here.,True

physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and interaction_action_type == "GotoViewpoint" and find_queue_not_empty, Hmm - now where would the {physical_interaction_intent_entity} be?,True

physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and interaction_action_type == null,I couldn't find the {physical_interaction_intent_entity}. Can you give me a different instruction?,False
physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and interaction_action_type == null,I searched for the {physical_interaction_intent_entity} but couldn't find it. Maybe we should look in another room?,False
physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and interaction_action_type == null,I tried to find the {physical_interaction_intent_entity} but couldn't. Can you give me a different instruction?,False

physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and physical_interaction_intent_entity =~ "(Color Changer|Gravity Pad|Everything's A Carrot Machine|Embiggenator)" and interaction_action_type == "RotateLeft" and not find_queue_not_empty and current_room != null and current_room != "Lab2",I couldn't find the {physical_interaction_intent_entity} in the current room - but it's usually in the quantum lab. You can tell me to search for the {physical_interaction_intent_entity} in the quantum lab,False

physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and physical_interaction_intent_entity =~ "(Embiggenator)" and interaction_action_type == "RotateLeft" and not find_queue_not_empty and current_room != null and current_room == "Lab2", I couldn't find the {physical_interaction_intent_entity} in the quantum lab - but we might be able to find it in the warehouse. You can ask me to search for the {physical_interaction_intent_entity} in the warehouse,False

physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and physical_interaction_intent_entity =~ "(Forklift|Tool Board)" and interaction_action_type == "RotateLeft" and not find_queue_not_empty and current_room != null and current_room != "Warehouse",I couldn't find the {physical_interaction_intent_entity} in the {current_room} - but I believe it's in the warehouse. You can tell me to search for the {physical_interaction_intent_entity} in the warehouse,False

physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and physical_interaction_intent_entity =~ "(Freeze Ray|Laser|Printer|Robot Arm|Wall Shelf)" and interaction_action_type == "RotateLeft" and not find_queue_not_empty and current_room != null and current_room != "Lab1",I couldn't find the {physical_interaction_intent_entity} in the current room - but it's usually in the robotics lab. You can ask me to search for the {physical_interaction_intent_entity} in the robotics lab,False

physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and physical_interaction_intent_entity =~ "(Fridge|Freezer|Time Machine|Toaster|Microwave|Sink|Vending Machine)" and interaction_action_type == "RotateLeft" and not find_queue_not_empty and current_room != null and current_room != "BreakRoom",I couldn't find the {physical_interaction_intent_entity} in the {current_room} - but I believe it's in the break room. You can tell me to search for the {physical_interaction_intent_entity} in the break room,False

physical_interaction_intent_type == "search" and physical_interaction_intent_entity != null and physical_interaction_intent_entity =~ "(Sink)" and interaction_action_type == "RotateLeft" and not find_queue_not_empty and current_room != null and current_room == "BreakRoom",I couldn't find the {physical_interaction_intent_entity} in the {current_room} - but we might able to find it in the warehouse. You can ask me to search for the {physical_interaction_intent_entity} in the warehouse,False

physical_interaction_intent_type == "search" and verbal_interaction_intent_type == "act_missing_inventory" and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and verbal_interaction_intent_entity != null,<amazon:emotion name="excited" intensity="low">I'll start by looking for the {verbal_interaction_intent_entity}</amazon:emotion>,True
physical_interaction_intent_type == "search" and verbal_interaction_intent_type == "act_missing_inventory" and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and verbal_interaction_intent_entity != null,First step - let's get the {verbal_interaction_intent_entity},True

physical_interaction_intent_type == "search" and verbal_interaction_intent_type == "act_no_match" and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and verbal_interaction_intent_entity != null,<amazon:emotion name="excited" intensity="low">Let's first look for the {verbal_interaction_intent_entity}</amazon:emotion>,True
physical_interaction_intent_type == "search" and verbal_interaction_intent_type == "act_no_match" and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and verbal_interaction_intent_entity != null,First things first - let's find the {verbal_interaction_intent_entity},True

physical_interaction_intent_type == "search" and verbal_interaction_intent_type == null and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance,I'll start looking!,True
physical_interaction_intent_type == "search" and verbal_interaction_intent_type == null and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance,<amazon:emotion name="excited" intensity="medium">Starting the search!</amazon:emotion>,True

physical_interaction_intent_type == "search" and verbal_interaction_intent_type == null and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and current_room != null,<amazon:emotion name="excited" intensity="low">Let me have a look around the room!</amazon:emotion>,True
physical_interaction_intent_type == "search" and verbal_interaction_intent_type == null and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and current_room != null,Let's search the {current_room}!,True

physical_interaction_intent_type == "search" and verbal_interaction_intent_type == null and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and current_room != null and physical_interaction_intent_entity != null,Let's search the {current_room} for the {physical_interaction_intent_entity}!,True

physical_interaction_intent_type == "search" and verbal_interaction_intent_type == null and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and utterance_queue_not_empty and physical_interaction_intent_entity != null,Let's find the {physical_interaction_intent_entity}.,True
physical_interaction_intent_type == "search" and verbal_interaction_intent_type == null and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and utterance_queue_not_empty and physical_interaction_intent_entity != null,<amazon:emotion name="excited" intensity="low">Now let's find the {physical_interaction_intent_entity}.</amazon:emotion>,True
physical_interaction_intent_type == "search" and verbal_interaction_intent_type == null and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and utterance_queue_not_empty and physical_interaction_intent_entity != null,Looking for the {physical_interaction_intent_entity}.,True

user_intent_type != "confirm_yes" and interaction_action_type == "GotoRoom" and interaction_action_entity != null,Moving to the {interaction_action_entity},True
user_intent_type != "confirm_yes" and interaction_action_type == "GotoRoom" and interaction_action_entity != null,Let me get to the {interaction_action_entity},True

user_intent_type != "confirm_yes" and interaction_action_type =~ "(GotoRoom|GotoObject)" and interaction_action_entity != null,Going to the {interaction_action_entity},True

user_intent_type == "admiration",Happy to be working with you. What's the next instruction?,False

user_intent_type == "ask_about_agent",<prosody rate="115%"><amazon:domain name="conversational">I can follow simple instructions so break down the tasks and I'll follow the best I can! You can tell me to go to objects or other rooms or you can tell me to interact with nearby objects. You can also ask me to find something and i'll search in this room for it! </amazon:domain>So - what should I do?</prosody>, False

user_intent_type == "ask_about_agent" and current_room == "BreakRoom",<prosody rate="115%"><amazon:domain name="conversational">Break down the tasks into some step-by-step instructions and I'll do my best to follow along! I can move around - turn - go to different rooms - or I can search for objects and go to them. I can pick up small objects like bowls or open objects like the fridge to see what's inside. If we turn on the sink - I can fill what I'm holding or clean dirty plates. So what's next?</amazon:domain></prosody>, False

user_intent_type == "ask_about_agent" and current_room =~ "(Lab1|Lab2|Warehouse)",<prosody rate="115%"><amazon:domain name="conversational">Break down the tasks into some step-by-step instructions and I'll do my best to follow along! I can move around - turn - go to different rooms - or I can search for objects and go to them. I can turn on the 3D printer or pickup and place items like cartridges. So what's next?</amazon:domain></prosody>, False

user_intent_type == "ask_about_agent" and current_room =~ "(SmallOffice|MainOffice|Reception)",If you break down the tasks into step-by-step instructions - I'll do my best to follow along! I can move around - turn - go to different rooms - or I can search for objects and go to them. With my hands - I can pick up small objects like a floppy disk - and then insert it in a computer with a slot. You can also ask me to scan nearby objects. So what's next?,False

user_intent_type == "ask_about_game",Our mission is to complete the tasks on the upper-left of your screen. I don't know what the tasks are - you have to break them down and tell me what to do. If you want to know more about what I can do say - what can you do. Let's go!,False
user_intent_type == "ask_about_game",We need to complete the tasks on your screen. Give me step-by-step instructions and I'll do my best to follow them. If you want to know more about what I can do - say - what can you do. For more hints - try reading a sticky note! So what's next?,False

user_intent_type == "confirm_no", Okay so what should I do?, True
user_intent_type == "confirm_no", Can you give me a different instruction?, True
user_intent_type == "confirm_no", So what's next?, True

user_intent_type == "confirm_no" and interaction_action_per_turn[-1]["type"] == "GotoObject" and interaction_action_per_turn[-1]["goto"]["object"]["name"] == "Computer" and inventory_entity == "Floppy Disk",Alright - you can help me navigate to another computer. Start by telling me to turn left or right - or even go to a different room.,False

user_intent_type == "confirm_yes" and interaction_action_per_turn[-1]["type"] == "GotoObject" and interaction_action_per_turn[-1]["goto"]["object"]["name"] == "Embiggenator",Lets go activate the pink computer. <amazon:emotion name="excited" intensity="medium">Hold tight!</amazon:emotion>,True

user_intent_type == "confirm_yes" and interaction_action_per_turn[-1]["type"] == "GotoObject" and interaction_action_per_turn[-1]["goto"]["object"]["name"] == "Gravity Pad",Going to the green computer. Get ready to see things <amazon:emotion name="excited" intensity="medium"> upside down!</amazon:emotion>,True

user_intent_type == "confirm_yes" and interaction_action_per_turn[-1]["type"] == "Place" and interaction_action_per_turn[-1]["place"]["object"]["name"] == "Embiggenator",Lets go activate the pink computer. <amazon:emotion name="excited" intensity="medium">Hold tight!</amazon:emotion>,True

user_intent_type == "confirm_yes" and interaction_action_per_turn[-1]["type"] == "Place" and interaction_action_per_turn[-1]["place"]["object"]["name"] == "Freeze Ray Shelf",<amazon:emotion name="excited" intensity="medium">Ok lets do it!</amazon:emotion>,True
user_intent_type == "confirm_yes" and interaction_action_per_turn[-1]["type"] == "Place" and interaction_action_per_turn[-1]["place"]["object"]["name"] == "Freeze Ray Shelf",Now lets activate the freeze ray. <amazon:emotion name="excited" intensity="medium">Hold tight!</amazon:emotion>,True

user_intent_type == "confirm_yes" and interaction_action_per_turn[-1]["type"] == "Place" and interaction_action_per_turn[-1]["place"]["object"]["name"] == "Gravity Pad",Going to the green computer. Get ready to see things <amazon:emotion name="excited" intensity="medium"> upside down!</amazon:emotion>,True

user_intent_type == "confirm_yes" and interaction_action_per_turn[-1]["type"] == "Place" and interaction_action_per_turn[-1]["place"]["object"]["name"] == "Laser Shelf",Let me activate the laser. <amazon:emotion name="excited" intensity="medium">Hold tight!</amazon:emotion>,True
user_intent_type == "confirm_yes" and interaction_action_per_turn[-1]["type"] == "Place" and interaction_action_per_turn[-1]["place"]["object"]["name"] == "Laser Shelf",<amazon:emotion name="excited" intensity="medium">Ok lets do it!</amazon:emotion>,True

user_intent_type == "confirm_yes" and interaction_action_type =~ "(GotoRoom|GotoPosition)",On my way,True
user_intent_type == "confirm_yes" and interaction_action_type =~ "(GotoRoom|GotoPosition)",I am on my way!,True
user_intent_type == "confirm_yes" and interaction_action_type =~ "(GotoRoom|GotoPosition)",Heading there now!,True
user_intent_type == "confirm_yes" and interaction_action_type =~ "(GotoRoom|GotoPosition)",I'm on my way!,True
user_intent_type == "confirm_yes" and interaction_action_type =~ "(GotoRoom|GotoPosition)",Going there right away!,True

user_intent_type == "confirm_yes" and physical_interaction_intent_type == "search" and verbal_interaction_intent_type == "act_no_match" and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance,<amazon:emotion name="excited" intensity="low">On it!</amazon:emotion>,True
user_intent_type == "confirm_yes" and physical_interaction_intent_type == "search" and verbal_interaction_intent_type == "act_no_match" and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance,<amazon:emotion name="excited" intensity="low">Let's find it!</amazon:emotion>,True
user_intent_type == "confirm_yes" and physical_interaction_intent_type == "search" and verbal_interaction_intent_type == "act_no_match" and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance,<amazon:emotion name="excited" intensity="low">Starting the search!</amazon:emotion>,True

user_intent_type == "confirm_yes" and physical_interaction_intent_type == "search" and verbal_interaction_intent_type == "act_no_match" and interaction_action_type == "RotateLeft" and current_turn_has_user_utterance and verbal_interaction_intent_entity != null,Alright - Searching for the {verbal_interaction_intent_entity}.,True

user_intent_type == "empty_utterance",Did you say anything?,False
user_intent_type == "empty_utterance",<say-as interpret-as="interjection">hmm</say-as> - i didnt register anything there,False
user_intent_type == "empty_utterance",<say-as interpret-as="interjection">er</say-as> - Did you say anything?,False

user_intent_type == "greeting",Hi there - what's next?,False
user_intent_type == "greeting",Hi - What should I do next?,False

user_intent_type == "greeting" and intent_type_counter["user_intent_type"] == 1,Hi - what would you like me to do? If you want to know more about the game ask me what is the game. If you want to know about my capabilities tell me what can you do.,False

user_intent_type == "incomplete_utterance" and intent_type_counter["incomplete_utterance"] == 1,Sorry I wasn't able to understand the entire instruction. Are you able to repeat that?, False

user_intent_type == "incomplete_utterance" and intent_type_counter["incomplete_utterance"] > 1,<say-as interpret-as="interjection">um</say-as> - Can you repeat that please?,False

user_intent_type == "incomplete_utterance" and intent_type_counter["incomplete_utterance"] > 2,Sorry I'm struggling to hear you - maybe you should come closer to the alexa?,False

user_intent_type == "incomplete_utterance_find", Sorry I wasn't able to understand what you need me to find. Are you able to repeat that?, False

user_intent_type == "incomplete_utterance_goto", Sorry I wasn't able to understand where you need me to go. Can you please repeat the instruction?, False

user_intent_type == "incomplete_utterance_pick", Sorry I wasn't able to understand what you need me to pick up. Can you please repeat that for me?, False

user_intent_type == "incomplete_utterance_place", I apologize for not being able to understand your instruction. If you need me to place something - please be specific about where you would like me to place it., False

user_intent_type == "low_asr_confidence",I'm not sure I got that,False
user_intent_type == "low_asr_confidence",I didn't hear properly - can you repeat that?,False
user_intent_type == "low_asr_confidence",I didn't hear properly - can you say repeat that?,False
user_intent_type == "low_asr_confidence",I didn't hear that properly - can you say it again?,False
user_intent_type == "low_asr_confidence",I'm not sure I got that - I'll wait here until you tell me what to do next,False
user_intent_type == "low_asr_confidence",I didn't hear that properly - could you say it again?,False
user_intent_type == "low_asr_confidence",I didn't quite catch that properly - could you say it again?,False

user_intent_type == "low_asr_confidence" and intent_type_counter["low_asr_confidence"] == 1,Sorry I wasn't able to understand what you said. Are you able to repeat that?,False

user_intent_type == "low_asr_confidence" and intent_type_counter["low_asr_confidence"] > 1,<say-as interpret-as="interjection">um</say-as> - Can you repeat that please?,False

user_intent_type == "low_asr_confidence" and intent_type_counter["low_asr_confidence"] > 2,Sorry I'm struggling to hear you - maybe try to go slower?,False

user_intent_type == "not_enough_information",Sorry what would you like me to do next?,False

user_intent_type == "only_wake_word",<say-as interpret-as="interjection">hiya</say-as> - how can i help?,False
user_intent_type == "only_wake_word",<say-as interpret-as="interjection">huh</say-as> - what can i do for you?,False
user_intent_type == "only_wake_word",Yes?,False
user_intent_type == "only_wake_word",Hi - how can I help?,False
user_intent_type == "only_wake_word",<say-as interpret-as="interjection">ay</say-as> - what do you need?,False

user_intent_type == "out_of_domain",Sorry I can't help with that.,False

user_intent_type == "out_of_domain" and intent_type_counter["user_intent_type"] > 2,Sorry I can't help with that. Try reading a sticky note for some hints.,False

user_intent_type == "out_of_domain" and intent_type_counter["user_intent_type"] > 3,Sorry I can't help with that. Try reading a sticky note or ask me - how do I play this game?,False

user_intent_type == "out_of_domain" and intent_type_counter["user_intent_type"] > 4,Sorry I can't help with that. If you want to learn more about the game - ask me - how do I play this game? If you want to know about my capabilities - ask me - what can you do?,Fasle

user_intent_type == "out_of_domain" and num_turns < 5,Sorry I can't help with that. If you want to learn more about the game - ask me - how do I play this game? If you want to know about my capabilities - ask me - what can you do?,False

user_intent_type == "profanity",Sorry I can't help with that.,False

verbal_interaction_intent_type == "act_no_match" and verbal_interaction_intent_entity == null and physical_interaction_intent_type == null,I'm not sure what to do. Can you give me another instruction?,False
verbal_interaction_intent_type == "act_no_match" and verbal_interaction_intent_entity == null and physical_interaction_intent_type == null,I don't see it in front of me. You can ask me to search for objects or give me another instruction,False

verbal_interaction_intent_type == "act_too_many_matches",I can see several - which do you want?,False
verbal_interaction_intent_type == "act_too_many_matches",Which one are you referring to?,False
verbal_interaction_intent_type == "act_too_many_matches",I'm not sure which one you mean?,False

verbal_interaction_intent_type == "act_too_many_matches" and verbal_interaction_intent_entity != null,Which {verbal_interaction_intent_entity} do you mean?,False
verbal_interaction_intent_type == "act_too_many_matches" and verbal_interaction_intent_entity != null,I'm not sure which {verbal_interaction_intent_entity} you want?,False
verbal_interaction_intent_type == "act_too_many_matches" and verbal_interaction_intent_entity != null,I'm not sure which {verbal_interaction_intent_entity} you mean?,False
verbal_interaction_intent_type == "act_too_many_matches" and verbal_interaction_intent_entity != null,I can see more than one - which {verbal_interaction_intent_entity} do you mean?,False
verbal_interaction_intent_type == "act_too_many_matches" and verbal_interaction_intent_entity != null,Which {verbal_interaction_intent_entity} are you referring to?,False
verbal_interaction_intent_type == "act_too_many_matches" and verbal_interaction_intent_entity != null,I can see several - which {verbal_interaction_intent_entity} do you want?,False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity !~ "(time machine|color changer|sticky note|gravity pad|printer|printer cartridge|robot arm|freeze ray|coffee maker|coffee unmaker|dino|dinosaur|portal monitor|freeze ray monitor|laser monitor|embiggenator monitor|gravity monitor|hammer|everything's a carrot machine)",I'm not aware of the {verbal_interaction_intent_entity} doing anything special,False
verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity !~ "(time machine|color changer|sticky note|gravity pad|printer|printer cartridge|robot arm|freeze ray|coffee maker|coffee unmaker|dino|dinosaur|portal monitor|freeze ray monitor|laser monitor|embiggenator monitor|gravity monitor|hammer|everything's a carrot machine)",I am unaware of any special capabilities of the {verbal_interaction_intent_entity},False
verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity !~ "(time machine|color changer|sticky note|gravity pad|printer|printer cartridge|robot arm|freeze ray|coffee maker|coffee unmaker|dino|dinosaur|portal monitor|freeze ray monitor|laser monitor|embiggenator monitor|gravity monitor|hammer|everything's a carrot machine)",I don't think the {verbal_interaction_intent_entity} does anything special,False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "coffee maker",To operate the coffee maker - you need to pour coffee beans and water into it and then turn it on., False
verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "coffee maker",To use the coffee maker - you need to pour some coffee beans and water into it and then turn it on., False
verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "coffee maker",We can use the coffee maker to brew some fresh coffee! We just need to pour some coffee beans and water in and turn it on, False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "coffee unmaker" ,<prosody rate="115%"><amazon:domain name="conversational">If we're all out of coffee beans - we can use the coffee composer to convert coffee back into beans! We just need to find some coffee first!</amazon:domain></prosody>, False
verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "coffee unmaker" ,<prosody rate="115%"><amazon:domain name="conversational">The coffee composer recycles coffee back into beans. We just need to pour some coffee into it and turn it on!</amazon:domain></prosody>, False
verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "coffee unmaker" ,<prosody rate="115%"><amazon:domain name="conversational">The coffee composer extracts beans from coffee. We just need to pour coffee into it and turn it on.</amazon:domain></prosody>, False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "color changer" ,<prosody rate="115%"><amazon:domain name="conversational">We can use the color changer to paint things. We just need to put objects on it and press one of the buttons</amazon:domain></prosody>,False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "embiggenator monitor" , The pink monitor controls the embiggenator to make small objects big - or big objects small!, False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "everything's a carrot machine" , The carrot machine turns everything into a carrot! Just put an object in the machine and tell me to turn it on!, False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "freeze ray monitor" , The blue monitor controls the freeze ray - and chills anything that is on the blue shelf., False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "freeze ray" ,<prosody rate="115%"><amazon:domain name="conversational">The freeze ray freezes things. We just need to put the object on the blue shelf and use the blue computer to turn it on!</amazon:domain></prosody>, False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "gravity monitor" , The green monitor controls the gravity flipper. Turn it on and everything will go on the ceiling!, False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "gravity pad",<prosody rate="115%"><amazon:domain name="conversational">You can put things on the gravity pad and flip the gravity upside down so everything is on the ceiling!</amazon:domain></prosody>,False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "hammer" , Hammers are useful to break objects such as bowls plates and floppy disks. , False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "laser monitor" , The red monitor can activate the laser to heat anything on the red shelf., False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "portal monitor" , The black monitor can turn the portal generator on and off - creating windows to the past and the future , False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "printer cartridge",<prosody rate="115%"><amazon:domain name="conversational">Printer cartridges go in the 3D printer. To use the 3D printer - we just put the cartridge in and turn it on.</amazon:domain></prosody>, False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "printer" , The 3D printer can print hammers and mugs and levers and all sorts of things! To use it - we just need to find a printer cartridge to insert, False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "robot arm" , The robotic arm can move large boxes out of the way!, False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "sticky note" , Sticky notes have useful hints and clues to complete the mission. Try read a sticky note when you're not sure what to do!,False

verbal_interaction_intent_type == "ask_about_affordance" and verbal_interaction_intent_entity == "time machine" ,The time machine can restore objects to their original state! We can turn back time to restore a broken bowl or turn a carrot back into its original object,False

verbal_interaction_intent_type == "ask_about_appearance" and verbal_interaction_intent_entity != null and verbal_interaction_intent_entity !~ "(portal monitor|freeze ray monitor|laser monitor|embiggenator monitor|gravity monitor)",I am unaware of any special features of the {verbal_interaction_intent_entity},False

verbal_interaction_intent_type == "ask_about_appearance" and verbal_interaction_intent_entity =~ "(embiggenator monitor)", The embiggenator monitor is the pink one! ,False

verbal_interaction_intent_type == "ask_about_appearance" and verbal_interaction_intent_entity =~ "(freeze ray monitor)", The freeze ray monitor is blue ,False

verbal_interaction_intent_type == "ask_about_appearance" and verbal_interaction_intent_entity =~ "(gravity monitor)", The gravity flipper monitor is green ,False

verbal_interaction_intent_type == "ask_about_appearance" and verbal_interaction_intent_entity =~ "(laser monitor)", The laser monitor is red ,False

verbal_interaction_intent_type == "ask_about_appearance" and verbal_interaction_intent_entity =~ "(portal monitor)",  The portal monitor is black ,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Embiggenator" and inventory_entity != null,Do we want to use the embiggenator on the {inventory_entity}?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Embiggenator" and inventory_entity != null,I have an idea - shall we use the embiggenator on the {inventory_entity}?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Embiggenator" and inventory_entity != null,Shall we use the embiggenator on the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Everything's A Carrot Machine" and inventory_entity != null,Do you want me to turn the {inventory_entity} into a carrot?,False
